Subtype,Median,Type,count,log,Year
DCC1,71.492473,DCC,1677,3.224533063,49.84241233
DCC2,36.47239,DCC,619,2.791690649,39.4148467
DCC3,116.86903,DCC,1009,3.003891166,74.697545
DCC4,14.971703,DCC,88,1.944482672,11.35765685
DCC5,33.319154,DCC,37,1.568201724,17.25775999
DCC6,58.039249,DCC,127,2.103803721,37.9928177
DCC7,53.025164,DCC,111,2.045322979,29.80575187
ECC1,39.738156,ECC,111,2.045322979,21.69648848
ECC10,29.952531,ECC,39,1.591064607,20.03929842
ECC11,57.046489,ECC,36,1.556302501,32.81934446
ECC13,17.306068,ECC,32,1.505149978,12.67648502
ECC14,42.653297,ECC,32,1.505149978,27.32687257
ECC15,4.563915,ECC,30,1.477121255,2.692708427
ECC16,50.1939885,ECC,25,1.397940009,22.4985378
ECC17,9.3708795,ECC,24,1.380211242,6.113844944
ECC2,31.4362435,ECC,96,1.982271233,16.18739106
ECC20,29.983326,ECC,23,1.361727836,17.61851693
ECC21,26.264147,ECC,23,1.361727836,15.20930506
ECC22,21.225648,ECC,23,1.361727836,8.839863579
ECC24,33.0541565,ECC,22,1.342422681,18.32770248
ECC25,19.103064,ECC,21,1.322219295,14.56365899
ECC26,13.840892,ECC,20,1.301029996,7.735728933
ECC27,26.709683,ECC,19,1.278753601,17.47064645
ECC3,33.561493,ECC,70,1.84509804,18.68658178
ECC30,20.262964,ECC,16,1.204119983,10.52032391
ECC31,34.430919,ECC,16,1.204119983,22.41013781
ECC32,34.13415,ECC,15,1.176091259,20.76489858
ECC33,36.845065,ECC,15,1.176091259,18.51865528
ECC34,53.164685,ECC,14,1.146128036,16.11045787
ECC35,51.5587795,ECC,14,1.146128036,28.80344539
ECC39,17.620066,ECC,12,1.079181246,5.652305101
ECC4,17.961872,ECC,58,1.763427994,10.8253327
ECC40,10.575648,ECC,12,1.079181246,15.68151077
ECC45,13.4967335,ECC,9,0.954242509,12.68394909
ECC48,3.2606105,ECC,8,0.903089987,1.588646067
ECC49,28.874869,ECC,8,0.903089987,16.33922556
ECC5,24.74183,ECC,54,1.73239376,14.83801004
ECC50,7.481478,ECC,8,0.903089987,3.002201124
ECC51,41.274513,ECC,8,0.903089987,8.792459101
ECC53,28.991699,ECC,7,0.84509804,18.43280289
ECC57,37.8684195,ECC,7,0.84509804,11.19095496
ECC58,0.5141775,ECC,6,0.77815125,0.288863764
ECC6,32.559944,ECC,48,1.681241237,22.75133661
ECC7,14.491076,ECC,43,1.633468456,11.17610537
ECC9,50.332704,ECC,42,1.62324929,26.36784053