Subtype,Median,Type,Year,count,log
DCC1,87.9881175,DCC,49.84241233,1677,3.224533063
DCC2,68.44945,DCC,39.4148467,619,2.791690649
DCC3,126.263578,DCC,74.697545,1009,3.003891166
DCC4,24.5880895,DCC,11.35765685,88,1.944482672
DCC5,31.095234,DCC,17.25775999,37,1.568201724
DCC6,55.907698,DCC,37.9928177,127,2.103803721
DCC7,49.858574,DCC,29.80575187,111,2.045322979
ECC1,40.985354,ECC,21.69648848,111,2.045322979
ECC10,49.222008,ECC,20.03929842,39,1.591064607
ECC12,52.6722445,ECC,27.07002875,36,1.556302501
ECC14,50.834256,ECC,27.32687257,32,1.505149978
ECC19,33.580117,ECC,33.28525735,23,1.361727836
ECC21,36.621666,ECC,15.20930506,23,1.361727836
ECC22,17.146128,ECC,8.839863579,23,1.361727836
ECC23,48.356777,ECC,14.76933394,22,1.342422681
ECC28,28.613176,ECC,15.5509998,17,1.230448921
ECC29,18.639081,ECC,11.39074351,16,1.204119983
ECC3,32.958522,ECC,18.68658178,70,1.84509804
ECC31,31.981382,ECC,22.41013781,16,1.204119983
ECC33,26.413647,ECC,18.51865528,15,1.176091259
ECC34,34.169533,ECC,16.11045787,14,1.146128036
ECC38,24.948312,ECC,16.51960016,12,1.079181246
ECC39,29.163498,ECC,5.652305101,12,1.079181246
ECC4,14.197196,ECC,10.8253327,58,1.763427994
ECC46,32.020808,ECC,23.34672091,9,0.954242509
ECC5,19.230043,ECC,14.83801004,54,1.73239376
ECC54,20.236437,ECC,10.1558459,7,0.84509804
ECC8,59.687622,ECC,33.80354256,42,1.62324929
ECC9,26.974416,ECC,26.36784053,42,1.62324929